name	degree	betweenness_centrality	closeness_centrality	eigenvector_centrality	Abundance	module	z	p	taxa_roles
otu8226	2	187	6.2153913573857e-05	2.28618736761857e-08	0.0185904726340291	M4	-0.710496104682893	0	Peripheral nodes
otu8232	5	41004	4.64835176964898e-05	4.92420358771287e-17	NA	M4	-0.390466609254607	0.32	Peripheral nodes
otu8239	6	330	5.49433303972948e-05	2.18300565874579e-13	NA	M2	-0.896505762253704	0	Peripheral nodes
otu8243	9	5760.1	5.77447232034154e-05	7.2283639653187e-13	NA	M2	-0.828989044840101	0	Peripheral nodes
otu8245	11	871	5.46744737610597e-05	5.69740010399531e-14	NA	M2	-0.783977899897698	0	Peripheral nodes
otu8247	11	25994	5.58356389611498e-05	1.05292603914868e-12	NA	M2	-0.806483472368899	0.165289256198347	Peripheral nodes
otu8258	12	11	2.5732736680109e-05	0	NA	M4	0.889651372458537	0	Peripheral nodes
otu8270	6	5	0.0756515491427826	0	NA	M12	0.433224288859106	0	Peripheral nodes
otu8277	3	6273	5.86891667527194e-05	4.24242355929415e-10	NA	M4	-0.55048135696875	0	Peripheral nodes
otu8278	2	0	0.172743055555556	0	NA	M17	-0.730296743340221	0	Peripheral nodes
otu8279	10	11159	6.09862451261027e-05	3.96891581593749e-11	NA	M2	-0.806483472368899	0	Peripheral nodes
otu8280	10	3744	6.2003995237768e-05	4.63076990970901e-11	NA	M2	-0.806483472368899	0	Peripheral nodes
otu8281	3	1	5.13137303478521e-05	1.05003331092343e-13	NA	M2	-0.964022479667308	0	Peripheral nodes
otu8282	9	3902	7.75691723564807e-05	0.000234057137915562	NA	M4	-0.0704371138263213	0.444444444444444	Peripheral nodes
otu8286	11	2764.5	6.82915596800283e-05	2.52439322414095e-09	NA	M2	-0.783977899897698	0	Peripheral nodes
otu8288	8	3243	6.01986454226567e-05	1.9754966298632e-11	NA	M2	-0.851494617311302	0	Peripheral nodes
otu8291	4	48266	6.37896238221504e-05	6.86221843505555e-10	NA	M2	-0.964022479667308	0.375	Peripheral nodes
otu8293	9	6974	6.78525669383713e-05	2.48087860863016e-09	NA	M2	-0.828989044840101	0	Peripheral nodes
otu8298	3	0	7.88728343063317e-05	0.000299402979673867	NA	M4	-0.870510852397036	0.444444444444444	Peripheral nodes
otu8300	12	8573	6.7512358837657e-05	5.08211755201123e-09	NA	M2	-0.761472327426497	0	Peripheral nodes
otu8301	5	5271	7.35788100881796e-05	5.7211381332484e-05	NA	M4	-0.390466609254607	0.32	Peripheral nodes
otu8305	9	9543	6.80091638819001e-05	2.50635189034614e-09	NA	M2	-0.828989044840101	0	Peripheral nodes
otu8306	2	286	6.52450898851928e-05	3.23024511093893e-06	NA	M4	-0.870510852397036	0.5	Peripheral nodes
otu8307	17	14722	6.80875572284741e-05	4.98766605540447e-09	NA	M2	-0.648944465070491	0	Peripheral nodes
otu8308	12	9844	6.61926921135453e-05	4.78068604047202e-09	NA	M2	-0.761472327426497	0	Peripheral nodes
otu8310	1	0	5.6252979559088e-05	1.26037510861112e-11	NA	M2	-1.00903362460971	0	Peripheral nodes
otu8314	1	0	3.80458415348996e-05	2.41382528809454e-18	NA	M4	-0.870510852397036	0	Peripheral nodes
otu8316	6	49639	8.24142674741933e-05	0.000342709600449614	NA	M4	-0.55048135696875	0.611111111111111	Peripheral nodes
otu8319	8	166121	8.53740699010067e-05	0.000352475233245631	NA	M2	-0.986528052138509	0.625	Connectors
otu8320	3	0	5.82144431955801e-05	3.18072693423768e-11	NA	M2	-0.964022479667308	0	Peripheral nodes
otu8324	31	8314	6.25629461358668e-05	7.59855161016688e-10	NA	M2	-0.333866450473675	0	Peripheral nodes
otu8326	4	608	5.19790195514888e-05	5.19986243561326e-14	NA	M2	-0.941516907196106	0	Peripheral nodes
otu8328	8	102.5	0.0123723269944543	0	NA	M7	-0.313862715895885	0	Peripheral nodes
otu8330	21	420.875	3.50589662428034e-05	0	NA	M4	2.32978410188582	0	Peripheral nodes
otu8331	7	1150	5.26928087564099e-05	3.65665565242866e-14	NA	M2	-0.874000189782503	0	Peripheral nodes
otu8332	3	0	3.41169790847659e-05	9.65530115237817e-19	NA	M4	-0.55048135696875	0	Peripheral nodes
otu8333	3	2862	5.58960502763384e-05	1.79819459684787e-12	NA	M2	-0.964022479667308	0	Peripheral nodes
otu8341	2	1427	2.60917378230027e-05	0	NA	M5	-0.839661390439015	0	Peripheral nodes
otu8342	2	5	5.61314659438129e-05	2.15638116581811e-12	NA	M2	-0.986528052138509	0	Peripheral nodes
otu8345	3	0	5.11330041466782e-05	1.07599641572218e-13	NA	M2	-0.964022479667308	0	Peripheral nodes
otu8347	21	420.875	3.50589662428034e-05	1.54484818438051e-17	NA	M4	2.32978410188582	0	Peripheral nodes
otu8349	7	0	3.13098066373239e-05	5.7931806914269e-18	NA	M6	-0.0877353680981835	0	Peripheral nodes
otu8351	9	14314.5	3.42299230084752e-05	3.86212046095127e-18	NA	M6	0.566291921361002	0	Peripheral nodes
otu8355	8	4328.5	3.14718139039255e-05	1.93106023047563e-18	NA	M6	0.239278276631409	0	Peripheral nodes
otu8357	8	4328.5	3.14718139039255e-05	1.93106023047563e-18	NA	M6	0.239278276631409	0	Peripheral nodes
otu8363	5	510	4.32665032141924e-05	5.77387008912215e-16	NA	M4	-0.230451861540464	0	Peripheral nodes
otu8364	6	3760.66666666664	3.4333643189225e-05	3.86212046095127e-18	NA	M6	-0.414749012827776	0	Peripheral nodes
otu8368	7	0	3.13934606553008e-05	1.93106023047563e-18	NA	M6	-0.0877353680981835	0	Peripheral nodes
otu8377	9	4	7.0578460127752e-05	2.37860415530252e-07	NA	M1	-1.10055152237812	0.197530864197531	Peripheral nodes
otu8385	5	6544	5.88798463830782e-05	1.32466676584145e-11	NA	M2	-0.919011334724905	0	Peripheral nodes
otu8387	21	420.875	3.50589662428034e-05	3.86212046095127e-17	NA	M4	2.32978410188582	0	Peripheral nodes
otu8390	6	11151	5.76402913207301e-05	1.48573528309747e-10	NA	M2	-0.896505762253704	0	Peripheral nodes
otu8391	2	0	4.92086793638407e-05	1.61127129761673e-11	NA	M18	0	0	Peripheral nodes
otu8396	2	0	4.97497869828115e-05	3.97701854466457e-15	NA	M2	-0.986528052138509	0	Peripheral nodes
otu8397	11	519	8.08623033195346e-05	0.000588156387322496	NA	M4	-0.230451861540464	0.628099173553719	Connectors
otu8398	21	420.875	3.50589662428034e-05	1.54484818438051e-17	NA	M4	2.32978410188582	0	Peripheral nodes
otu8399	6	3760.66666666664	3.4333643189225e-05	1.93106023047563e-18	NA	M6	-0.414749012827776	0	Peripheral nodes
otu8410	7	9102	5.36333328832191e-05	1.6958570944037e-14	NA	M2	-0.874000189782503	0	Peripheral nodes
otu8416	8	0	3.12532928128621e-05	0	NA	M6	0.239278276631409	0	Peripheral nodes
otu8417	24	0	3.50930139916411e-05	0	NA	M4	2.80982834502825	0	Module hubs
otu8418	3	0	5.84816822882932e-05	6.4625904445622e-12	NA	M2	-0.964022479667308	0	Peripheral nodes
otu8432	6	14580	5.4312966778707e-05	3.88165699730299e-12	NA	M2	-0.919011334724905	0.277777777777778	Peripheral nodes
otu8433	9	3249.99999999999	3.42661730346246e-05	0	NA	M6	0.566291921361002	0	Peripheral nodes
otu8438	11	317	6.1258923171328e-05	3.9329189221812e-11	NA	M2	-0.783977899897698	0	Peripheral nodes
otu8440	31	8314	6.25629461358668e-05	7.59855168740929e-10	NA	M2	-0.333866450473675	0	Peripheral nodes
otu8441	11	8805.5	6.83881645716752e-05	2.48862471301599e-09	NA	M2	-0.783977899897698	0	Peripheral nodes
otu8442	5	19877	4.65432837428577e-05	4.63454455314152e-17	NA	M4	-0.55048135696875	0.56	Peripheral nodes
otu8445	17	220587	7.77490202796735e-05	9.16714881362057e-07	NA	M2	-0.648944465070491	0	Peripheral nodes
otu8450	14	6906	6.88981271813981e-05	4.88054560642845e-09	NA	M2	-0.716461182484095	0	Peripheral nodes
otu8462	3	0	5.13683941902021e-05	6.10871593308662e-14	NA	M2	-0.964022479667308	0	Peripheral nodes
otu8490	12	131069	5.9297281722283e-05	6.22950375050287e-12	NA	M2	-0.761472327426497	0	Peripheral nodes
otu8494	4	0	4.81404550712982e-05	2.1241662535232e-16	NA	M2	-0.941516907196106	0	Peripheral nodes
otu8497	2	1	5.0747743115748e-05	1.28656887855439e-15	NA	M2	-0.986528052138509	0	Peripheral nodes
otu8504	3	4186	5.24700124911235e-05	3.4221283874374e-14	NA	M2	-0.964022479667308	0	Peripheral nodes
otu8543	145	5244.575	5.97261190215206e-05	2.40212517027078e-08	NA	M2	2.23176881124326	0	Peripheral nodes
otu8550	43	571.405405405404	5.82230317162798e-05	7.29323615718612e-10	NA	M2	-0.063799580819261	0	Peripheral nodes
otu8558	279	4710.63523221831	8.76727748782175e-05	0.111567299440296	NA	M3	1.46163966399067	0.0489202348376819	Peripheral nodes
otu8586	22	76896.5	7.46664855605083e-05	3.40114301212626e-08	NA	M2	-0.62643889259929	0.297520661157025	Peripheral nodes
otu8587	2	0	7.0543385636621e-05	3.04068722949398e-05	NA	M3	-1.46766704404836	0	Peripheral nodes
otu8588	3	0	6.71392621429317e-05	1.90060990675652e-06	NA	M3	-1.45681775994451	0	Peripheral nodes
otu8591	7	238.666666666667	5.71437609122359e-05	1.83281773435621e-11	NA	M2	-0.874000189782503	0	Peripheral nodes
otu8592	6	319	6.67700388080574e-05	1.94761891326516e-06	NA	M3	-1.42426990763297	0	Peripheral nodes
otu8593	28	3656	8.25450612097333e-05	0.00128919534067421	NA	M1	-1.03121455559513	0.436224489795918	Peripheral nodes
otu8594	8	3434.6	5.48241447253491e-05	8.62759089771904e-14	NA	M2	-0.851494617311302	0	Peripheral nodes
otu8596	7	357.666666666667	5.32902694298349e-05	7.39265856972757e-13	NA	M2	-0.874000189782503	0	Peripheral nodes
otu8599	78	9214	9.41711989520594e-05	0.0443205335179144	NA	M1	-0.804293573396247	0.415844838921762	Peripheral nodes
otu8600	33	4816	9.01530054668973e-05	0.00980793075463554	NA	M1	-0.999697752511953	0.422405876951331	Peripheral nodes
otu8601	25	47	8.72306967510817e-05	0.0313169305983632	NA	M1	-0.993394391895317	0	Peripheral nodes
otu8602	6	16993	6.42921859617997e-05	3.38950042135919e-11	NA	M2	-0.896505762253704	0	Peripheral nodes
otu8603	10	36600.5	6.65373765539721e-05	8.84081238897542e-11	NA	M2	-0.806483472368899	0	Peripheral nodes
otu8604	13	4076.625	7.6067761234008e-05	8.64090964922575e-05	NA	M3	-1.34832491890603	0	Peripheral nodes
otu8605	4	0.5	6.67003372337212e-05	2.4701481713436e-06	NA	M4	-0.390466609254607	0	Peripheral nodes
otu8606	50	2149	9.00994349369552e-05	0.037145650194285	NA	M1	-0.968180949428775	0.5032	Peripheral nodes
otu8607	38	1546.5	8.64477213269459e-05	0.0363869445750842	NA	M1	-0.993394391895317	0.466759002770083	Peripheral nodes
otu8608	2	0	4.97497869828115e-05	3.97701854466457e-15	NA	M2	-0.986528052138509	0	Peripheral nodes
