name	degree	betweenness_centrality	closeness_centrality	eigenvector_centrality	Abundance	module	z	p	taxa_roles
otu2386	313	301.533333333333	9.87023590774285e-05	0.817052197321725	NA	M2	0.74976668477469	0	Peripheral nodes
otu2387	292	473.666666666667	9.83107240151765e-05	0.778109129837335	0.0121271151781409	M2	0.584151592422516	0	Peripheral nodes
otu2388	371	121.071428571429	9.93898796377839e-05	0.956034615547661	NA	M2	1.20717979698546	0	Peripheral nodes
otu2389	338	350.60384615385	9.91313680820762e-05	0.868828286931725	NA	M2	0.946927509003469	0	Peripheral nodes
otu2390	235	637.983333333333	9.79079937304358e-05	0.598845824184747	NA	M2	0.110965614273447	0.0252059755545496	Peripheral nodes
otu2391	8	9.83333333333333	8.63541166305263e-05	0.000356563007906731	NA	M10	1.12766777704456	0.21875	Peripheral nodes
otu2394	4	166.033333333333	7.55556738895985e-05	3.10499988725603e-07	NA	M26	1.88561808316413	0	Peripheral nodes
otu2395	6	4	6.31856817274864e-05	5.09152012316007e-18	0.294919638525308	M1	-0.892820634716967	0	Peripheral nodes
otu2397	366	91.8118908868909	9.94084324039001e-05	0.941960443344107	NA	M2	1.1677476321397	0	Peripheral nodes
otu2398	180	464.3	9.64297249425502e-05	0.400538389155058	NA	M2	-0.307015333091564	0.0110493827160494	Peripheral nodes
otu2400	17	1982.65	8.54015958729447e-05	0.0180870265046719	NA	M2	-1.61616320597066	0.359861591695502	Peripheral nodes
otu2402	2	0	7.37257505791751e-05	3.81597191358066e-08	NA	M26	-0.942809041582063	0	Peripheral nodes
otu2403	368	297.933333333333	9.9378611757789e-05	0.945277408193391	NA	M2	1.183520498078	0	Peripheral nodes
otu2405	4	0	7.77649387329677e-05	2.20687965935223e-05	NA	M10	-0.049029033784546	0	Peripheral nodes
otu2406	378	20.25	9.93786078481025e-05	0.967483095199143	NA	M2	1.26238482776952	0	Peripheral nodes
otu2408	364	484.566666666667	9.93495381409984e-05	0.927575422451835	NA	M2	1.1519747662014	0	Peripheral nodes
otu2409	3	7536	7.49480406060503e-05	2.87563465759797e-07	NA	M26	0.471404520791032	0	Peripheral nodes
otu2411	6	10086.3388888889	8.65942982761487e-05	8.51777150637321e-05	NA	M26	0.471404520791032	0.5	Peripheral nodes
otu2412	4	3087.24444444444	8.47583297155103e-05	1.12369449645145e-05	NA	M26	0.471404520791032	0.375	Peripheral nodes
otu2413	2	0	5.39454841190499e-05	9.76892994296978e-15	0.791672609146744	M26	-0.942809041582063	0	Peripheral nodes
otu2414	4	0	8.34757074983125e-05	0.0020662452344981	NA	M2	-1.68714110269302	0	Peripheral nodes
otu2415	375	4548.17860627505	9.94749485548675e-05	0.951998127066976	NA	M2	1.23872552886206	0	Peripheral nodes
otu2416	13	6902.32777777778	9.90376773701278e-05	0.00343530185673498	NA	M2	-1.63982250487811	0.378698224852071	Peripheral nodes
otu2420	2	16	8.81007052414884e-05	1.80070095022428e-15	0.708587845464592	M1	-0.951177020250631	0	Peripheral nodes
otu2422	24	104	8.67159094782484e-05	0.0420445600458416	NA	M2	-1.52941244330999	0	Peripheral nodes
otu2423	20	10469.8388888889	0.000100409708458569	0.0104039454678136	NA	M2	-1.5767310411249	0.185	Peripheral nodes
otu2424	2	0	5.67686291464045e-05	3.39434674877338e-18	NA	M1	-0.951177020250631	0	Peripheral nodes
otu2425	2	5655	6.63633882374111e-05	9.28502116130066e-10	NA	M26	-0.942809041582063	0	Peripheral nodes
otu2426	357	377.297619047619	9.91430616895828e-05	0.912551106082712	NA	M2	1.08888330244819	0.00558654834482808	Peripheral nodes
otu2427	10	2007	6.40390740125877e-05	3.39434674877338e-18	0.0102369606196771	M1	-0.834464249183303	0	Peripheral nodes
otu2428	182	8523.1212406015	0.00010467838290149	0.448599322955763	0.162661014577553	M2	-0.283356034184111	0	Peripheral nodes
otu2429	3	3772	5.94634629919046e-05	3.03394179968212e-12	0.312980330430132	M26	0.471404520791032	0	Peripheral nodes
otu2430	350	321.561111111111	9.90713052353449e-05	0.895682333283683	NA	M2	1.04156470463328	0	Peripheral nodes
otu2438	14	3698	7.08862314569865e-05	1.35773869950935e-17	NA	M1	-0.776107863649638	0	Peripheral nodes
otu2442	14	65	7.0614650435998e-05	0	0.0605572408274464	M1	-0.776107863649638	0	Peripheral nodes
otu2444	9	570	6.47919273016281e-05	6.78869349754676e-18	0.0433245832556183	M1	-0.849053345566719	0	Peripheral nodes
otu2447	47	7	9.1313625294159e-05	0.00334079000282635	NA	M4	1.00012669233075	0.222725215029425	Peripheral nodes
otu2451	358	137.979711954712	9.92723276883474e-05	0.920053423417831	NA	M2	1.10465616838649	0	Peripheral nodes
otu2453	16	1513.16666666667	9.23180708133258e-05	0.0123728719857496	NA	M2	-1.60039034003235	0.1171875	Peripheral nodes
otu2454	10	3601	7.0628868064688e-05	3.39434674877338e-18	NA	M1	-0.834464249183303	0	Peripheral nodes
otu2458	323	619.126984126984	9.89656842488178e-05	0.827233381053623	NA	M2	0.828631014466202	0	Peripheral nodes
otu2459	364	57.0807644110277	9.91898774193524e-05	0.943013759150445	NA	M2	1.1519747662014	0	Peripheral nodes
otu2460	48	561.5	8.65534356415593e-05	0.0701581179473064	NA	M4	-0.405456767161113	0.457465277777778	Peripheral nodes
otu2464	12	10178	7.75420083943217e-05	1.69717337438669e-17	0.142769098613088	M1	-0.80528605641647	0	Peripheral nodes
otu2468	10	1491	6.99728972657366e-05	6.78869349754676e-18	NA	M1	-0.834464249183303	0	Peripheral nodes
otu2472	319	820.562049062049	9.8841859548439e-05	0.80818969326862	NA	M2	0.789198849620446	0.00624993858157841	Peripheral nodes
otu2475	3	67	5.76567236619271e-05	0	0.15276800434733	M1	-0.936587923867215	0	Peripheral nodes
otu2476	8	159	6.47294644402918e-05	1.35773869950935e-17	0.195614319716215	M1	-0.863642441950135	0	Peripheral nodes
otu2477	2	0	4.23519219574214e-05	1.69717337438669e-18	NA	M14	-1.10096376512636	0	Peripheral nodes
otu2479	13	1674	7.13429879833228e-05	1.35773869950935e-17	NA	M1	-0.790696960033054	0	Peripheral nodes
otu2484	6	1	7.92586977876833e-05	9.68134142935046e-05	NA	M10	0.73543550676819	0	Peripheral nodes
otu2486	9	7	9.71535175939869e-05	0.00199035558569297	NA	M10	-0.833493574337282	0.345679012345679	Peripheral nodes
otu2487	351	3253.07896825397	9.91701194760023e-05	0.862948009894146	NA	M2	1.04156470463328	0.00568177206353848	Peripheral nodes
otu2490	367	179.483333333333	9.93439898681844e-05	0.94046156209043	NA	M2	1.17563406510885	0	Peripheral nodes
otu2497	9	13	7.06692418210711e-05	6.78869349754676e-18	NA	M1	-0.849053345566719	0	Peripheral nodes
otu2499	348	282.196240601504	9.90410750817995e-05	0.897300828533559	NA	M2	1.02579183869498	0	Peripheral nodes
otu2506	286	771.992171717171	0.000106788105534264	0.724467023512021	NA	M2	0.528946561638458	0.00696855591960488	Peripheral nodes
otu2507	104	290.1	9.62720092905844e-05	0.215958054378357	NA	M2	-0.898497805777901	0	Peripheral nodes
otu2508	318	554.428571428571	9.79642326492734e-05	0.789810942358553	NA	M2	0.789198849620446	0	Peripheral nodes
otu2509	344	2429.57546897547	9.91037657850677e-05	0.867646093579622	NA	M2	0.994246106818376	0	Peripheral nodes
otu2512	37	4186.66666666667	8.71617713900335e-05	0.0567857246698839	NA	M2	-1.45054811361848	0.153396639883126	Peripheral nodes
otu2515	6	1824	6.3021081294143e-05	1.69717337438669e-18	NA	M1	-0.892820634716967	0	Peripheral nodes
otu2516	15	3391	7.08363772944268e-05	1.35773869950935e-17	NA	M1	-0.761518767266222	0	Peripheral nodes
otu2524	8	490	6.37317820275874e-05	3.39434674877338e-18	2.69666337956805	M1	-0.863642441950135	0	Peripheral nodes
otu2525	46	10477.3333333333	0.000101751469248987	0.0665018541320821	NA	M2	-1.43477524768018	0.340264650283554	Peripheral nodes
otu2528	306	1417.25	9.88782920565984e-05	0.772719115874248	NA	M2	0.694561653990632	0	Peripheral nodes
otu2529	6	2	8.45354114301075e-05	0.00929618790725894	5.8744701192922	M2	-1.67136823675471	0	Peripheral nodes
otu2530	377	255.778571428572	9.96380681342388e-05	0.95979173685809	NA	M2	1.25449839480036	0	Peripheral nodes
otu2531	86	468.333333333333	9.53901993409166e-05	0.1424774582564	NA	M2	-1.04045359922262	0	Peripheral nodes
otu2532	345	664.690750915751	9.92789861485037e-05	0.868165917039935	NA	M2	1.00213253978753	0	Peripheral nodes
otu2533	273	27407.4261904762	0.000106962313224218	0.699995352224895	NA	M2	0.426422933039493	0.00729917213433695	Peripheral nodes
otu2534	259	44	9.74995081969507e-05	0.703618846478596	NA	M2	0.323899304440528	0	Peripheral nodes
otu2535	37	41.3833333333333	8.73138914912114e-05	0.0190707986832086	NA	M2	-1.42688881471103	0	Peripheral nodes
otu2536	379	169.119195424458	9.9387649598782e-05	0.968179077021685	NA	M2	1.27027126073867	0	Peripheral nodes
otu2537	326	334.207692307692	9.8536303468801e-05	0.844378220737946	NA	M2	0.852290313373655	0	Peripheral nodes
otu2538	379	169.119195424458	9.9387649598782e-05	0.968179077021686	NA	M2	1.27027126073867	0	Peripheral nodes
otu2539	370	292.447222222222	9.9392584753967e-05	0.948666737149773	NA	M2	1.19929336401631	0	Peripheral nodes
otu2540	366	51.5642857142857	9.91139294960722e-05	0.94796624467547	NA	M2	1.1677476321397	0	Peripheral nodes
otu2541	294	1050.11483516484	9.86041962825751e-05	0.744834678342649	NA	M2	0.599924458360818	0	Peripheral nodes
otu2542	301	56335.0476178191	0.000107153007235037	0.780937257385812	0.180437179347419	M2	0.655129489144876	0	Peripheral nodes
otu2543	301	124.920238095238	9.84826490307008e-05	0.795077252071331	0.136793852464836	M2	0.655129489144876	0	Peripheral nodes
otu2544	338	350.60384615385	9.91313680820762e-05	0.868828286931725	NA	M2	0.946927509003469	0	Peripheral nodes
otu2545	338	424.092640692641	9.90816774274018e-05	0.852114101737856	NA	M2	0.939041076034318	0.00589965337348131	Peripheral nodes
otu2546	338	350.60384615385	9.91313680820762e-05	0.868828286931725	NA	M2	0.946927509003469	0	Peripheral nodes
