Source,Target,Type,Id,Label,timeset,Weight,correlation
otu468,otu702,Undirected,489,,,0.98995,0.98995
otu468,otu703,Undirected,490,,,0.98995,0.98995
otu468,otu712,Undirected,491,,,0.98995,0.98995
otu468,otu739,Undirected,492,,,0.98995,0.98995
otu468,otu749,Undirected,493,,,0.98995,0.98995
otu468,otu750,Undirected,494,,,0.98995,0.98995
otu468,otu752,Undirected,495,,,0.98995,0.98995
otu468,otu761,Undirected,496,,,0.98995,0.98995
otu468,otu766,Undirected,497,,,0.98995,0.98995
otu468,otu767,Undirected,498,,,0.98995,0.98995
otu468,otu771,Undirected,499,,,0.98995,0.98995
otu468,otu828,Undirected,500,,,0.98995,0.98995
