	otus	S2441YD	S2441YG	S2442YD	S2442YG	S2443YD	S2443YG	S2444YD	S2444YG	S2445YD	S2445YG	S2446YD	S2447YD	S2447YG	S2451YD	S2451YG	S2452YD	S2452YG	S2453YD	S2453YG	S2454YD	S2455YD	S2455YG	S2456YD	S2456YG	S2457YD	S2461YD	S2461YG	S2462YD	S2462YG	S2463YD	S2463YG	S2464YD	S2464YG	S2465YD	S2465YG	S2466YD	S2466YG	S2467YD	S2467YG	taxa	staxa
5567	otu8010	0.0001538327	5.2361e-05	8.44469e-05	0.0006924335	0.0009508765	0.0014240187	0	0.0010006789	0.0001459671	9.61749e-05	0	0.0020060185	0.0017776713	0.000129412	0.0001339421	0.0003732623	0.0003314927	0.0018348523	0.0023396899	0.0007918478	0.0004425135	8.44604e-05	0.0004134963	0.0002238213	0.00083411	0.000815315	0.0001578627	0.0002292075	0.0001791785	0.0003804897	0.0010601812	0.0001761885	0.0002768437	9.34886e-05	0.0001860058	0	0	0.0095877245	0.0085302784	CRT	RT
5568	otu8011	0	0	0	7.79561e-05	3.18475e-05	0.0002217734	0	0	0	6.90486e-05	0	0.0010450379	0.0001612945	0	0	0.00011485	5.52488e-05	0.0003249472	5.92027e-05	0.0001099789	0	0	4.27755e-05	5.30103e-05	0.0002530134	6.27165e-05	1.5277e-05	0	0	0.0001268299	0.0006283454	0	1.53802e-05	0	6.7231e-06	0	0	0.0010574147	0.0049451205	CRT	RT
5569	otu8012	0	0	0	0	0.0001205657	0.000122559	0	0	0	5.17865e-05	0	0.000508888	0.0001681581	0	0	0	0	0.0003200608	8.52519e-05	0	0	0	0	0	0.0003753495	0	0.00020624	0	0	0.0001470074	0.0001188761	0.0002238071	0.0002197172	0	0	0	0	0.0015431528	0.0013861157	CRT	RT
5570	otu8013	0	0	0	0.0001559122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CRT	RT
5571	otu8014	0	0	0	0	0	0.0007616166	0	0	0	0	0	0.0014948586	0.0003946568	0	0	0	0	0.000517961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0013040202	0.0011202256	CRT	RT
5572	otu8015	3.67362e-05	0	0	0	5.00461e-05	7.29518e-05	0	0	0	0	0	0.0019424075	0.0007824499	0	0	7.83068e-05	7.1363e-05	0.0003078447	0.000111301	0.0003519324	0	0	0	0	0.0002585741	5.548e-05	0	0	0	0	6.30771e-05	0	0	0	0	0	0	0.0088105434	0.0046421801	CRT	RT
5573	otu8016	0	0	0	0	0	0	0	0	0	0	0	0.0002021921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0005081569	0.0006102396	CRT	RT
5574	otu8017	0	0	0	9.62987e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0013877445	0	0	0	0	0	0	0	0	0	0	0	0.0002623073	0.0002134919	0	0	0	0	0	0	0.0003362803	0.0002898638	CRT	RT
5575	otu8018	0	0	0	9.40059e-05	0	0.0004202022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0003811177	0.0003051198	CRT	RT
5576	otu8019	0	0	0	0	0	0	0	0	0	0	0	0.0001181347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.71771e-05	CRT	RT
5577	otu8020	0	0	0	0	0	0	0	0	0	0	0	5.22519e-05	0	0	0	0	0	0.0003127312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0003325438	0.000285505	CRT	RT
5578	otu8021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001024331	CRT	RT
5579	otu8022	0	0	0	0	0	0	0	0	0	0	0	4.54364e-05	0	0	0	0	0	0.0011727418	0.0001586632	0	0	0	0	0	0	0	0	0	0	0.0001700674	0.000167397	0.0002119024	0.0001428162	0	0	0	0	0.0001569308	0.0002637107	CRT	RT
5580	otu8024	0	0	0	0.0001123485	0.0001819859	0.0003851854	0	0	0	0	0	0.0003907533	0.0001784535	0	0	0.0002035976	0	0.0003054015	0.000153927	0	0	0	0	0	0.0002974992	0	0	0	0	0	7.27813e-05	0	0	0	0	0	0	0.0013152295	0.0011899673	CRT	RT
5581	otu8025	2.75521e-05	5.69141e-05	9.60947e-05	0.0002155257	0.000245681	0.0005164986	0	0	4.75242e-05	0.0001060389	8.1811e-05	0.0009314469	0.0004289747	0	0	9.39681e-05	0	0.0001588088	0.0001799761	0	0	0	0	5.89003e-05	0.0002168686	0	0.0001858706	0	0	6.918e-05	0.0001067459	3.0952e-05	3.51548e-05	0	0	0	6.29974e-05	0.0045846212	0.0047271778	CRT	RT
